City,Year,Zp,Price,Population,FO,Latitude,D_to_Moscow
Belg obl,2003,4468.6,76.09,1511,CFO,50.610,578
Resp Karelia,2003,5692,74.3,715,SZFO,61.784,959
Rost Krai,2003,3806.1,74.2,4396,UFO,47.231,954
Dagestan,2003,2409.2,71.23,2581,SKFO,42.976,1587
Tatarstan,2003,4530,81.2,3777,PFO,55.788,842
Kugran,2003,3664.6,84.92,1016,YrFO,55.450,1729
Altai,2003,3147.5,87.31,203,SFO,48.302,2925
Jakutia,2003,9697.4,93.76,948,DVFO,62.033,4883
Belg obl,2004,5284.4,80.82,1513,CFO,50.610,578
Resp Karelia,2004,6935.1,80.55,708,SZFO,61.784,959
Rost Krai,2004,4797.5,74.23,4365,UFO,47.231,954
Dagestan,2004,3000.1,73.21,2581,SKFO,42.976,1587
Tatarstan,2004,5452.8,83.2,3772,PFO,55.788,842
Kugran,2004,4538.4,90.87,1003,YrFO,55.450,1729
Altai,2004,4549.9,90.07,203,SFO,48.302,2925
Jakutia,2004,11315.3,101.12,948,DVFO,62.033,4883
Belg obl,2005,6775.4,99.32,1511,CFO,50.610,578
Resp Karelia,2005,8730.3,104.91,703,SZFO,61.784,959
Rost Krai,2005,5944.7,98.82,4334,UFO,47.231,954
Dagestan,2005,3659.8,97.22,2621,SKFO,42.976,1587
Tatarstan,2005,7067.8,107.2,3768,PFO,55.788,842
Kugran,2005,5691.5,110.58,992,YrFO,55.450,1729
Altai,2005,5736.1,111.65,203,SFO,48.302,2925
Jakutia,2005,13436.9,122.3,950,DVFO,62.033,4883
Belg obl,2006,8336.9,113.8,1511,CFO,50.610,578
Resp Karelia,2006,10697.4,120.09,697,SZFO,61.784,959
Rost Krai,2006,7568.9,119.17,4303,UFO,47.231,954
Dagestan,2006,4540,118.11,2640,SKFO,42.976,1587
Tatarstan,2006,8849.9,124.24,3761,PFO,55.788,842
Kugran,2006,7295.6,129.5,979,YrFO,55.450,1729
Altai,2006,7438.1,132.63,204,SFO,48.302,2925
Jakutia,2006,16167.5,147.11,949,DVFO,62.033,4883
Belg obl,2007,10479.5,126.97,1513,CFO,50.610,578
Resp Karelia,2007,13342.1,133.63,693,SZFO,61.784,959
Rost Krai,2007,9779.6,127.74,4275,UFO,47.231,954
Dagestan,2007,5696.4,126.78,2658,SKFO,42.976,1587
Tatarstan,2007,11468.6,135.02,3760,PFO,55.788,842
Kugran,2007,8883.1,146.48,969,YrFO,55.450,1729
Altai,2007,9228.2,141.24,205,SFO,48.302,2925
Jakutia,2007,19409.2,162.9,949,DVFO,62.033,4883
Belg obl,2008,13508.5,140.62,1519,CFO,50.610,578
Resp Karelia,2008,16892.9,142.27,690,SZFO,61.784,959
Rost Krai,2008,12539,128.63,4254,UFO,47.231,954
Dagestan,2008,7595.1,134.67,2687,SKFO,42.976,1587
Tatarstan,2008,14904,138.02,3762,PFO,55.788,842
Kugran,2008,11318.8,151.52,960,YrFO,55.450,1729
Altai,2008,11453.9,152.69,207,SFO,48.302,2925
Jakutia,2008,23815.9,178.56,951,DVFO,62.033,4883
Belg obl,2009,14061,173.2,1525,CFO,50.610,578
Resp Karelia,2009,18394,177.85,687,SZFO,61.784,959
Rost Krai,2009,13882.5,164.15,4241,UFO,47.231,954
Dagestan,2009,9125.3,163.43,2711,SKFO,42.976,1587
Tatarstan,2009,15206.9,172.79,3768,PFO,55.788,842
Kugran,2009,11942,183.74,952,YrFO,55.450,1729
Altai,2009,13075.4,182.9,209,SFO,48.302,2925
Jakutia,2009,26532.6,230.56,949,DVFO,62.033,4883
Belg obl,2010,15938.4,182.86,1532,CFO,50.610,578
Resp Karelia,2010,20056,186.95,643,SZFO,61.784,959
Rost Krai,2010,15243.9,174.5,4277,UFO,47.231,954
Dagestan,2010,10243.5,168.99,2910,SKFO,42.976,1587
Tatarstan,2010,17350.1,182.83,3786,PFO,55.788,842
Kugran,2010,13227.9,206.11,910,YrFO,55.450,1729
Altai,2010,14235.8,192.65,206,SFO,48.302,2925
Jakutia,2010,28708,248.86,958,DVFO,62.033,4883
Belg obl,2011,17667.6,197.23,1532,CFO,50.610,578
Resp Karelia,2011,22173.9,208.89,642,SZFO,61.784,959
Rost Krai,2011,16949.5,189.2,4275,UFO,47.231,954
Dagestan,2011,11235.8,182.85,2914,SKFO,42.976,1587
Tatarstan,2011,20009.4,199.08,3787,PFO,55.788,842
Kugran,2011,14833.1,222.13,908,YrFO,55.450,1729
Altai,2011,15632.4,205.62,206,SFO,48.302,2925
Jakutia,2011,34051.5,270.09,958,DVFO,62.033,4883
Belg obl,2012,20002.1,223.17,1536,CFO,50.610,578
Resp Karelia,2012,24795.8,228.02,639,SZFO,61.784,959
Rost Krai,2012,19189.4,214.3,4260,UFO,47.231,954
Dagestan,2012,13659.6,229.72,2930,SKFO,42.976,1587
Tatarstan,2012,23233.7,226.26,3803,PFO,55.788,842
Kugran,2012,17180.3,246.06,896,YrFO,55.450,1729
Altai,2012,18264.6,222.4,208,SFO,48.302,2925
Jakutia,2012,39915.6,291.18,955,DVFO,62.033,4883
