A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
1759.911	53.4	584.87	605.660	593.660	233.048	498.686	543.6	543.798	2394.630	2363.630	899.5441
1924.131	83.2	610.98	600.295	590.295	337.010	476.171	452.1	492.197	2323.795	2377.795	1459.5820
1811.365	85.8	585.22	564.591	587.591	293.390	466.036	539.0	544.290	2416.136	2441.136	1539.4295
1922.605	70.6	583.97	607.617	597.617	345.057	444.065	457.0	535.323	2314.314	2388.314	1196.2737
1030.702	71.0	565.95	576.084	586.084	300.648	322.161	329.1	295.060	2619.561	2597.561	1037.0725
1720.054	24.3	622.61	574.147	603.147	218.220	517.186	499.1	501.203	2416.182	2358.182	842.4625
1156.835	86.9	596.80	600.546	602.546	223.822	390.733	449.7	402.446	2603.676	2653.676	1441.2433
1248.573	37.6	600.42	574.087	593.087	199.229	489.064	451.1	421.976	2624.485	2519.485	773.1517
1118.961	39.9	581.55	599.879	580.879	260.014	366.742	429.7	393.729	2649.553	2645.553	918.9387
1731.895	87.6	574.69	584.386	597.386	246.717	572.038	523.0	502.787	2368.156	2425.156	1346.5626
1673.147	97.2	602.29	581.062	596.062	523.112	542.426	518.4	467.969	2488.130	2412.130	1513.7458
1662.252	99.8	594.21	586.915	589.915	251.760	536.295	578.2	480.008	2395.834	2466.834	1419.6828
1446.577	32.8	592.76	591.719	588.719	219.663	543.728	552.7	475.697	2481.164	2482.164	724.2495
1451.674	95.5	590.79	607.758	587.758	163.851	568.658	534.6	447.890	2449.431	2508.431	1436.8876
1046.846	79.2	564.06	623.127	600.127	251.043	350.831	315.8	291.253	2618.072	2624.072	1159.2079
1663.015	74.3	574.22	577.495	594.495	253.990	581.170	511.1	536.078	2411.575	2474.575	1115.5008
1391.552	67.3	799.39	615.762	584.762	162.674	510.015	568.0	478.724	2483.872	2509.872	1304.9367
1227.149	49.7	569.28	598.026	595.026	236.040	477.829	467.8	402.947	2539.769	2611.769	820.2196
1914.914	17.1	613.92	582.328	596.328	322.301	426.510	478.5	492.932	2295.929	2357.929	479.0742
1553.240	55.4	608.48	611.805	596.805	172.317	573.410	561.4	526.036	2472.899	2416.899	990.8143
