F1	F2	F3	F4
53.4	899.5441	225.53	283.7000641
83.2	1459.582	238.36	85.23819697
85.8	1539.4295	246.55	258.7694937
70.6	1196.2737	236.17	364.6870327
71	1037.0725	211.99	359.6133305
24.3	842.4625	268.68	385.462508
86.9	1441.2433	231.52	55.0737022
37.6	773.1517	278.34	192.5977355
39.9	918.9387	279.53	352.1362957
87.6	1346.5626	247.87	298.50459304
97.2	1513.7458	226.69	235.7615894
99.8	1419.6828	210.11	65.91540269
32.8	724.2495	255.88	61.33304849
95.5	1436.8876	213.43	107.4449904
92.2	1159.2079	287.43	326.863918
74.3	1115.5008	261.76	55.98162786
67.3	1304.9367	270.93	149.7650075
49.7	820.2196	233.46	170.0811792
17.1	479.0742	296.22	243.7726981
55.4	990.8143	245.57	175.0801111
